dataset,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,sequence_minus_tabular_acc,sequence_minus_llm_acc,transformer_minus_llm_mean_acc,rnn_minus_llm_mean_acc,group_value_label
BPI20PrepaidTravelCosts,y_true_na,25,0.813953488372093,0.0232558139534883,0.8372093023255814,0.8372093023255814,0.8372093023255814,0.7674418604651163,0.8023255813953489,0.8372093023255814,0.4186046511627907,-0.0348837209302325,0.3837209302325582,0.3488372093023256,0.4186046511627907,Request For Payment REJECTED by EMPLOYEE
BPI12,activity_current,25,0.3216374269005848,0.3040935672514619,0.6666666666666666,0.2748538011695906,0.3099415204678362,0.7251461988304093,0.695906432748538,0.2923976608187134,0.3128654970760234,0.4035087719298246,0.3830409356725146,0.4122807017543859,0.3538011695906432,W_Valideren aanvraag
BPI20PrepaidTravelCosts,activity_current,5,0.7564102564102564,0.1025641025641025,0.782051282051282,0.7564102564102564,0.7564102564102564,0.7564102564102564,0.7692307692307692,0.7564102564102564,0.4294871794871794,0.0128205128205127,0.3397435897435897,0.3269230769230769,0.3525641025641026,Permit APPROVED by BUDGET OWNER
BPI20PrepaidTravelCosts,y_true_na,9,0.9146341463414634,0.1524390243902439,0.823170731707317,0.8536585365853658,0.8597560975609756,0.9146341463414634,0.8689024390243902,0.8567073170731707,0.5335365853658537,0.0121951219512195,0.3353658536585365,0.3810975609756097,0.2896341463414633,Permit FINAL_APPROVED by SUPERVISOR
BPI20PrepaidTravelCosts,true_next_activity_frequency_bucket,"next_freq_(519.0, 529.0]",0.105911330049261,0.6059113300492611,0.6477832512315271,0.6551724137931034,0.1428571428571428,0.7216748768472906,0.6847290640394088,0.3990147783251231,0.3559113300492611,0.2857142857142857,0.3288177339901477,0.3657635467980294,0.291871921182266,
BPI20PrepaidTravelCosts,y_true_na,8,0.96875,0.125,0.9375,0.96875,0.9375,0.8125,0.875,0.953125,0.546875,-0.078125,0.328125,0.265625,0.390625,Permit FINAL_APPROVED by DIRECTOR
BPI12,case_length_bucket,51-100,0.4308755760368664,0.391705069124424,0.7465437788018433,0.6152073732718893,0.6082949308755761,0.728110599078341,0.7373271889400921,0.6117511520737327,0.4112903225806452,0.1255760368663594,0.3260368663594469,0.3168202764976958,0.3352534562211981,
BPI20TravelPermitData,activity_current,36,0.375,0.375,0.675,0.3,0.35,0.725,0.7,0.3249999999999999,0.375,0.375,0.3249999999999999,0.35,0.3,Request For Payment APPROVED by ADMINISTRATION
BPI12,true_next_activity_frequency_bucket,"next_freq_(1611.0, 4982.0]",0.5739837398373984,0.4666666666666667,0.7967479674796748,0.5886178861788618,0.6211382113821138,0.8780487804878049,0.8373983739837398,0.6048780487804878,0.5203252032520325,0.232520325203252,0.3170731707317074,0.3577235772357724,0.2764227642276423,
BPI20PrepaidTravelCosts,activity_current,7,0.96875,0.15625,0.9375,0.96875,0.9375,0.8125,0.875,0.953125,0.5625,-0.078125,0.3125,0.25,0.375,Permit APPROVED by SUPERVISOR
BPI12,y_true_na,17,0.1071428571428571,0.1964285714285714,0.2857142857142857,0.6785714285714286,0.375,0.625,0.4553571428571428,0.5267857142857143,0.1517857142857142,-0.0714285714285714,0.3035714285714286,0.4732142857142857,0.1339285714285714,O_SELECTED
BPI20TravelPermitData,activity_current,17,0.1916167664670658,0.7485029940119761,0.7784431137724551,0.6047904191616766,0.029940119760479,0.7664670658682635,0.7724550898203593,0.3173652694610778,0.4700598802395209,0.4550898203592814,0.3023952095808383,0.2964071856287426,0.3083832335329342,Declaration SUBMITTED by EMPLOYEE
BPI20TravelPermitData,y_true_na,36,0.28,0.88,0.86,0.82,0.26,0.9,0.88,0.54,0.5800000000000001,0.3399999999999999,0.2999999999999999,0.3199999999999999,0.2799999999999999,Request For Payment APPROVED by ADMINISTRATION
BPI12,y_true_na,25,0.6583850931677019,0.4472049689440994,0.8571428571428571,0.4409937888198758,0.4347826086956521,0.8385093167701864,0.8478260869565217,0.4378881987577639,0.5527950310559007,0.4099378881987577,0.295031055900621,0.2857142857142857,0.3043478260869564,W_Valideren aanvraag
BPI12,prefix_length_bucket,21-50,0.4970238095238095,0.3824404761904761,0.7648809523809523,0.6160714285714286,0.6294642857142857,0.7023809523809523,0.7336309523809523,0.6227678571428572,0.4397321428571428,0.1108630952380951,0.2938988095238095,0.2626488095238095,0.3251488095238095,
