dataset,model,paradigm,group_col,group_value,n,accuracy,error_rate,n_cases
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,4-5,340,0.6970588235294117,0.30294117647058827,329
BPI20TravelPermitData,llama32-1b,llm,prefix_length_bucket,6-10,706,0.7379603399433428,0.26203966005665724,637
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,1,151,0.12582781456953643,0.8741721854304636,151
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,11-20,403,0.8709677419354839,0.12903225806451613,343
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,2,153,0.5359477124183006,0.46405228758169936,153
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,21-50,71,0.6619718309859155,0.3380281690140845,54
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,3,170,0.7647058823529411,0.23529411764705888,170
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,4-5,340,0.7735294117647059,0.2264705882352941,329
BPI20TravelPermitData,rnn,sequence,prefix_length_bucket,6-10,706,0.8271954674220963,0.17280453257790374,637
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,1,151,0.2847682119205298,0.7152317880794702,151
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,11-20,403,0.8014888337468983,0.19851116625310172,343
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,2,153,0.47058823529411764,0.5294117647058824,153
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,21-50,71,0.6197183098591549,0.3802816901408451,54
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,3,170,0.7764705882352941,0.22352941176470587,170
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,4-5,340,0.6823529411764706,0.3176470588235294,329
BPI20TravelPermitData,saprpt,tabular_fm,prefix_length_bucket,6-10,706,0.7096317280453258,0.2903682719546742,637
BPI20TravelPermitData,tabpfn3,tabular_fm,prefix_length_bucket,1,151,0.2913907284768212,0.7086092715231789,151
