dataset,task,group_col,group_value,gemma-2-2b,llama32-1b,rnn,saprpt,tabpfn3,transformer,sequence_mean,tabular_fm_mean,llm_mean,tabular_minus_sequence_mae,llm_minus_sequence_mae,tabular_relative_to_sequence_mae,llm_relative_to_sequence_mae,group_value_label
BPI20PrepaidTravelCosts,RT,relative_prefix_bucket,80-100%,0.7443750976549781,0.205415305975244,0.3311450734781296,0.0720142328870097,0.0658416138439747,0.1037580976769265,0.217451585577528,0.0689279233654922,0.474895201815111,-0.1485236622120359,0.2574436162375829,0.3169805507852565,2.1839123433100767,
BPI12,RT,activity_current,23,0.4931783933407357,0.4055321628373708,0.361207445065511,0.3615484193228271,0.3649521123924735,0.6588186389579076,0.5100130420117093,0.3632502658576503,0.4493552780890533,-0.1467627761540589,-0.0606577639226559,0.7122372095129884,0.8810662494366892,W_Nabellen incomplete dossiers
BPI12,RT,nt_magnitude_bucket,"nt_mag_(-0.23498, -0.22964]",1.1608218276801738,1.257937054523688,1.0114812388237473,1.091993129706876,1.1242038567552413,1.4920132533479018,1.2517472460858243,1.1080984932310587,1.209379441101931,-0.1436487528547658,-0.0423678049838935,0.8852414069182488,0.9661530671496372,
BPI20RequestForPayment,NT,nt_magnitude_bucket,"nt_mag_(0.53498, 8.8586]",1.029465886567007,1.0850077097856567,1.1497476991786455,0.969931708130182,1.019066086082774,1.1232277103115385,1.136487704745092,0.994498897106478,1.0572367981763318,-0.141988807638614,-0.0792509065687603,0.8750634898681449,0.9302668157008036,
BPI20PrepaidTravelCosts,NT,activity_current,25,0.3623176529640105,0.4610072343451221,0.5273424654208101,0.4161553688165618,0.3176162900721154,0.4886501004050554,0.5079962829129328,0.3668858294443386,0.4116624436545663,-0.1411104534685941,-0.0963338392583664,0.7222214842607824,0.8103650705749801,Request For Payment REJECTED by EMPLOYEE
BPI20PrepaidTravelCosts,RT,prefix_length_bucket,11-20,0.760092090141583,0.2400413301000569,0.3344045491626565,0.098026743317221,0.1011510800936834,0.1469576718246049,0.2406811104936307,0.0995889117054522,0.5000667101208199,-0.1410921987881785,0.2593855996271892,0.4137795089161669,2.077714819809482,
BPI12,RT,branching_degree_bucket,"branch_deg_(9.0, 11.0]",1.1334307174812157,1.3940041565345358,0.9426186022254964,1.1272228498032997,1.175538163834445,1.6417544714885752,1.2921865368570358,1.1513805068188725,1.2637174370078756,-0.1408060300381635,-0.0284690998491601,0.8910327371304737,0.9779682739007596,
BPI12,RT,activity_current,24,1.1334307174812157,1.3940041565345358,0.9426186022254964,1.1272228498032997,1.175538163834445,1.6417544714885752,1.2921865368570358,1.1513805068188725,1.2637174370078756,-0.1408060300381635,-0.0284690998491601,0.8910327371304737,0.9779682739007596,W_Nabellen offertes
BPI20PrepaidTravelCosts,NT,prefix_length_bucket,4-5,0.5904843839328198,0.6403886943249806,0.6174408925319185,0.5134900152494901,0.4990703628597299,0.675175462337734,0.6463081774348263,0.50628018905461,0.6154365391289002,-0.1400279883802162,-0.030871638305926,0.7833417659420894,0.9522338732762836,
BPI12,NT,activity_current,18,0.1488181622535513,0.2992872702970839,0.1202786417122472,0.0058089591432036,0.0012577372161965,0.1613010021678188,0.140789821940033,0.0035333481797,0.2240527162753176,-0.1372564737603329,0.0832628943352845,0.0250966165807429,1.591398534268684,O_SENT
BPI20PrepaidTravelCosts,RT,activity_current,22,0.7306037763547566,0.3456492084314555,0.4467981961775674,0.1546665664969219,0.1908668006666832,0.1723251149265302,0.3095616555520488,0.1727666835818025,0.5381264923931061,-0.1367949719702462,0.2285648368410572,0.5581010454079125,1.7383499627350552,Request For Payment FINAL_APPROVED by SUPERVISOR
BPI12,RT,branching_entropy_bucket,"branch_ent_(1.535, 1.745]",1.111717521190997,1.3267441358723264,0.960892269861659,1.0967592404334214,1.1407078359280505,1.5481166009118408,1.2545044353867498,1.118733538180736,1.219230828531662,-0.1357708972060138,-0.0352736068550878,0.8917732824402831,0.9718824375107024,
BPI20PrepaidTravelCosts,RT,rt_magnitude_bucket,"rt_mag_(-0.79, -0.562]",0.7031043902130204,0.2448107280780733,0.3776506583213912,0.1183375874590922,0.1209699336484709,0.1154710307082588,0.246560844514825,0.1196537605537815,0.4739575591455469,-0.1269070839610434,0.2273967146307218,0.4852910071314552,1.9222742365203456,
BPI20PrepaidTravelCosts,RT,prefix_length_bucket,6-10,0.8114559528494371,0.3068839086376154,0.4007503733951806,0.1790801287810925,0.1792905555089265,0.2066475084526149,0.3036989409238978,0.1791853421450095,0.5591699307435263,-0.1245135987788882,0.2554709898196284,0.5900097695431561,1.841198158421124,
BPI12,RT,nt_magnitude_bucket,"nt_mag_(-0.22964, 19.69389]",1.2840318565569746,1.356576336997646,1.050108228769188,1.1965276198686785,1.2089712012416631,1.604295875651427,1.3272020522103074,1.2027494105551706,1.3203040967773103,-0.1244526416551368,-0.006897955432997,0.9062293179490832,0.9948026335390988,
