dataset,model,paradigm,task,group_col,group_value,n,mae,mse,median_ae,p90_ae,bias,n_cases,group_value_label
BPI17,gemma-2-2b,llm,RT,prefix_length_bucket,3,44,1.11677528121932,1.8122907642529549,1.010729277506471,2.173513519763947,-1.0318653188984503,44,
BPI17,gemma-2-2b,llm,RT,prefix_length_bucket,4-5,105,1.4315549278321364,2.764731664440447,1.5993276238441467,2.4637780070304878,-1.3781908582142066,104,
BPI17,gemma-2-2b,llm,RT,prefix_length_bucket,6-10,248,1.3216116447229949,2.553219367716676,1.264142632484436,2.4311592161655424,-1.2844007028975724,245,
BPI17,gemma-2-2b,llm,RT,prefix_length_bucket,>50,130,0.4148052493110299,0.3361451045082351,0.3024704158306122,0.9500179104506972,-0.4002590191049071,122,
BPI17,llama32-1b,llm,RT,prefix_length_bucket,1,43,0.7709831811141136,0.7208419354395381,0.8494744300842285,1.1857976257801055,-0.0572194684903289,43,
BPI17,llama32-1b,llm,RT,prefix_length_bucket,11-20,545,0.7712686001859315,0.8216936711659053,0.8091974407434464,1.3420233957469463,-0.2228069623387547,525,
BPI17,llama32-1b,llm,RT,prefix_length_bucket,2,49,0.8048803239908754,0.8046515011387642,0.8519011735916138,1.277989757061005,-0.0414410666087452,49,
BPI17,llama32-1b,llm,RT,prefix_length_bucket,21-50,836,0.4364667558183662,0.4344034417036637,0.2577322721481323,1.136619694530964,-0.2272599379901894,769,
BPI17,llama32-1b,llm,RT,prefix_length_bucket,3,44,0.8611194576052102,0.8715130174167275,0.9156246930360794,1.1444131016731265,-0.0438323153013532,44,
BPI17,llama32-1b,llm,RT,prefix_length_bucket,4-5,105,0.8510393647077893,0.9271686892819558,0.8825737833976746,1.2901103734970096,-0.2210940730846708,104,
BPI17,llama32-1b,llm,RT,prefix_length_bucket,6-10,248,0.8480784269394198,0.911868187352828,0.8923876285552979,1.2827896893024449,-0.133437510094741,245,
BPI17,llama32-1b,llm,RT,prefix_length_bucket,>50,130,0.2894823159306095,0.2035910353926392,0.2033078074455261,0.7341541040688757,-0.093374971486628,122,
BPI17,rnn,sequence,RT,prefix_length_bucket,1,43,0.7722420540833196,0.8013678915367395,0.6976912021636963,1.3944514274597168,-0.3074667425176432,43,
